#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:41+0000 #
#####################################################################
# 
#
# The columns have the following meaning: 
# time TetR[Mean] LacI[Mean] AcI[Mean] 
436.5100892940086 98.0 126.0 95.0 
438.00370097558437 97.0 129.0 93.0 
439.5432887224971 91.0 128.0 95.0 
441.0142059132971 93.0 120.0 82.0 
442.5123731634655 91.0 123.0 94.0 
444.00346963044313 97.0 111.0 87.0 
445.51626252552 101.0 106.0 91.0 
447.00167449070915 98.0 99.0 86.0 
448.50450432480056 96.0 99.0 82.0 
450.000887119472 98.0 103.0 76.0 
451.525465357443 101.0 103.0 79.0 
453.0128031248969 98.0 106.0 86.0 
454.53141974416053 95.0 106.0 84.0 
456.0524669722275 91.0 99.0 93.0 
457.5275383247901 91.0 98.0 91.0 
459.0054855288006 90.0 97.0 102.0 
460.53244807254237 84.0 106.0 98.0 
462.00612337670674 76.0 97.0 103.0 
463.51474215314164 77.0 104.0 104.0 
465.04585986333916 76.0 107.0 108.0 
466.5025636104914 76.0 99.0 106.0 
468.00673413607535 75.0 100.0 108.0 
469.50372469540036 76.0 104.0 114.0 
471.0134140283906 75.0 103.0 109.0 
472.5107084281198 84.0 101.0 108.0 
474.0039094623923 90.0 111.0 102.0 
475.50655037241165 90.0 104.0 104.0 
477.02185799078916 94.0 101.0 97.0 
478.50077451461226 93.0 98.0 96.0 
480.00345776248736 88.0 102.0 99.0 
481.5053472019325 83.0 90.0 108.0 
483.0085389079998 82.0 96.0 117.0 
484.50312529678183 86.0 94.0 113.0 
486.0299366831411 83.0 99.0 114.0 
487.5014916383795 82.0 106.0 107.0 
489.0052446206451 84.0 108.0 104.0 
490.514776746479 80.0 103.0 111.0 
492.00472212671974 84.0 97.0 117.0 
493.5187065706212 80.0 104.0 119.0 
495.06196935072006 67.0 102.0 123.0 
496.50333579226685 64.0 101.0 113.0 
498.02809137122824 71.0 97.0 110.0 
499.5139372506148 70.0 96.0 111.0 
501.0244869142411 71.0 92.0 104.0 
502.5026506530263 79.0 99.0 109.0 
504.00905042335756 87.0 94.0 106.0 
505.50831456275426 85.0 90.0 103.0 
507.01730826455287 85.0 85.0 109.0 
508.57317297161035 81.0 90.0 109.0 
510.01268910072594 87.0 95.0 111.0 
511.5050280018778 90.0 98.0 109.0 
513.0368804429908 92.0 96.0 111.0 
514.5036237734005 87.0 95.0 114.0 
516.0598155886983 89.0 94.0 114.0 
517.529451130693 89.0 98.0 116.0 
519.0266922136312 91.0 98.0 112.0 
520.5210624038841 96.0 88.0 110.0 
522.0061724239782 91.0 86.0 102.0 
523.533093012607 102.0 81.0 95.0 
525.0060603177037 105.0 81.0 97.0 
526.5025325328997 111.0 85.0 102.0 
528.0032652586973 112.0 83.0 117.0 
529.5003233360792 117.0 81.0 116.0 
531.0137993676648 116.0 82.0 122.0 
532.5014547779853 122.0 81.0 114.0 
534.0052462263357 123.0 81.0 112.0 
